epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.83278,1.58256,3.75815,1.3466,0.00731,0.43536,0.00691,0.00235,1.85798,3.79155,1.45898,0.000317556,0.000317556,0.000317556
2,18.7253,1.60237,3.13857,1.23591,0.00586,0.3405,0.11478,0.06474,1.87409,3.57512,1.34352,0.000754591,0.000754591,0.000754591
3,27.5071,1.75982,2.41669,1.23897,0.00942,0.51541,0.18806,0.08239,1.7992,3.35479,1.32104,0.00114447,0.00114447,0.00114447
4,36.1953,1.71121,2.35498,1.1714,0.01497,0.82999,0.17023,0.05374,2.05662,3.26529,1.34216,0.00121679,0.00121679,0.00121679
5,44.7677,1.72387,2.4303,1.25078,0.0145,0.83811,0.12508,0.04415,1.89229,3.24129,1.31371,0.00114606,0.00114606,0.00114606
6,53.2379,1.74682,2.08347,1.25322,0.0145,0.83811,0.12508,0.04415,1.89229,3.24129,1.31371,0.00107532,0.00107532,0.00107532
7,61.8653,1.74737,2.05008,1.2385,0.01527,0.87814,0.2581,0.09603,1.79182,3.16614,1.30688,0.00100459,0.00100459,0.00100459
8,70.5191,1.65698,1.98278,1.21922,0.015,0.84552,0.27798,0.12985,1.72703,2.97367,1.27104,0.000933851,0.000933851,0.000933851
9,79.2095,1.69978,1.85999,1.23214,0.01601,0.91589,0.4044,0.19638,1.7839,2.89476,1.3267,0.000863116,0.000863116,0.000863116
10,87.9804,1.64183,1.72914,1.17553,0.01601,0.91589,0.4044,0.19638,1.7839,2.89476,1.3267,0.00079238,0.00079238,0.00079238
11,96.9309,1.62339,2.0768,1.19271,0.9396,0.11075,0.45868,0.20592,1.75134,2.9026,1.26757,0.000721645,0.000721645,0.000721645
12,105.354,1.71512,1.99865,1.23728,1,0.08858,0.41494,0.18342,1.74805,2.96166,1.23647,0.000650909,0.000650909,0.000650909
13,113.752,1.62675,1.86793,1.21854,0.47749,0.32844,0.39615,0.17794,1.7593,2.87935,1.23786,0.000580174,0.000580174,0.000580174
14,122.285,1.59022,1.88419,1.16373,0.47749,0.32844,0.39615,0.17794,1.7593,2.87935,1.23786,0.000509438,0.000509438,0.000509438
15,130.801,1.66368,1.84385,1.27715,0.52311,0.42946,0.39258,0.17821,1.75714,2.84239,1.22771,0.000438703,0.000438703,0.000438703
16,139.388,1.56614,1.75921,1.20168,1,0.1591,0.42878,0.19429,1.77129,2.76054,1.22289,0.000367967,0.000367967,0.000367967
17,147.859,1.62027,1.74254,1.20756,0.87979,0.21266,0.46374,0.21775,1.79556,2.65948,1.22397,0.000297232,0.000297232,0.000297232
18,156.662,1.59519,1.71213,1.16991,0.87979,0.21266,0.46374,0.21775,1.79556,2.65948,1.22397,0.000226497,0.000226497,0.000226497
19,165.279,1.6123,1.67344,1.20975,0.87344,0.26453,0.48887,0.23696,1.79608,2.59052,1.20912,0.000155761,0.000155761,0.000155761
20,173.89,1.57073,1.63785,1.21056,0.84691,0.27694,0.5157,0.24449,1.81435,2.50627,1.21759,8.50255e-05,8.50255e-05,8.50255e-05
